Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0003763,QA52,Romundo,Romundo,normal,minor,always,,General,2025-09-12,	Windows 10,40.0.3485.54,Microsoft Edge	OS	Windows 10,public,2025-09-12,"Не відтворюється відео Ютуб  ""кофігуратор планування квартири""  в розділі "" Приклади розроблених конфігураторів""  в body",assigned,open,
0003762,QA52,Romundo,Romundo,normal,minor,always,,General,2025-09-12,	Windows 10,40.0.3485.54,Microsoft Edge	OS	Windows 10,public,2025-09-12,"Не відтворюється відео Ютуб  ""кофігуратор вікон"" в розділі "" Приклади розроблених конфігураторів""  в body",assigned,open,
0003761,QA52,Romundo,Romundo,high,minor,always,,General,2025-09-12,OS	Windows 10,40.0.3485.54,Microsoft Edge	OS	Windows 10,public,2025-09-12,"Відсутній переклад на англійську мову розділ ""Угода користувача"" footer сайту",assigned,open,
0003760,QA52,Romundo,Romundo,high,major,always,,General,2025-09-12,Windows 10	,40.0.3485.54,	Microsoft Edge	,public,2025-09-12,"Іконка ""Вайбер"" не клікабельна у розділі ""Messengers"" в  Footer сайту",assigned,open,
0003759,QA52,Romundo,Romundo,low,text,always,,General,2025-09-12,	Windows 10	,40.0.3485.54,	Microsoft Edge	,public,2025-09-12,Помилка при скороченні назви вулиці в адресі компанії,assigned,open,
0003758,QA52,Romundo,Romundo,normal,minor,always,,General,2025-09-12,Windows 10,40.0.3485.54,Microsoft Edge	,public,2025-09-12,"L10N Сайт переключаеться на украинскую локализацию при нажатии на иконку ""Разработка игр на ""Unity""",assigned,open,
0003757,QA52,Romundo,Romundo,normal,minor,always,,General,2025-09-12,Windows 10,40.0.3485.54,Microsoft Edge,public,2025-09-12,"[L10n] Локалізація з EN змінюється на RU при переході до ""DASHBOARDS DESIGN"" розділу ""Prototyping Software UX",assigned,open,
0003756,QA52,Romundo,Romundo,normal,minor,always,,General,2025-09-12,Windows 10,40.0.3485.54,Microsoft Edge,public,2025-09-12,"L10N Розділ в footer сайту ""Address:""  в ENG локалізації відображає мапу з адресою на українській мові",assigned,open,
0003755,QA52,Romundo,Romundo,normal,minor,always,,General,2025-09-12,Windows 10,40.0.3485.54,Microsoft Edge,public,2025-09-12,"L10N Розділ в footer сайту ""Карта сайту"" (Sitemap) в ENG локалізації відображається на українській мові",assigned,open,
0003754,QA52,Romundo,Romundo,low,minor,sometimes,,General,2025-09-12,Windows 10,40.0.3485.54,Microsoft Edge,public,2025-09-12,"L10N відкриває проект клієнта в новому вікні в UA локалізації натисканням на іконку в розділі ""наші клієнти""",assigned,open,
